""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","40","2015","Daunorubicin","Powder For Injection 20 mg","1581(E)","25-Mar-2026","₹ 310.03(Each Pack)"
"","41","2015","Dextran-40","Injection 10%","1581(E)","25-Mar-2026","₹ 1.08(1 ML)"
"","42","2015","Diazepam","Oral Liquid 2 mg/5ml","1581(E)","25-Mar-2026","₹ 3.48(1 ML)"
"","43","2015","Diclofenac","Capsule 50 mg","1581(E)","25-Mar-2026","₹ 0.78(1 Capsule)"
"","44","2015","Dicyclomine","Injection 10 mg/ml (1ml &
2ml Pack)","1581(E)","25-Mar-2026","₹ 0.20(1 ML)"
"","45","2015","Dicyclomine","Tablet 10 mg","1581(E)","25-Mar-2026","₹ 0.13(1 Tablet)"
"","46","2015","Dinoprostone","Tablet 0.5 mg","1581(E)","25-Mar-2026","₹ 63.80(1 Tablet)"
"","47","2015","Diphtheria antitoxin","Injection 10000 IU","1581(E)","25-Mar-2026","₹ 1670.88(Each Pack)"
"","48","2015","DPT vaccine","VACCINE","1581(E)","25-Mar-2026","₹ 18.07(Per 0.5 ml)"
"","49","2015","Drug Eluting Stents (DES) including metallic DES and Bioresorbable Vascular  Scaffold (BVS)/ Biodegradable Stents","DEVICE --","1587(E)","25-Mar-2026","₹ 39186.03(1 Unit)"
"","50","2015","Ferrous Salt (A) +
Folic Acid (B)","Tablet 100 mg elemental iron
(A) + 500mcg (B)","1581(E)","25-Mar-2026","₹ 0.28(1 Tablet)"
"","51","2015","Fluconazole","Oral Liquid 50 mg/ 5 ml","1581(E)","25-Mar-2026","₹ 3.33(1 ML)"
"","52","2015","Gadobenate","Injection 529 mg","1581(E)","25-Mar-2026","₹ 138.95(1 ML)"
"","53","2015","GENTIAN VIOLET","PAINT 1 %","1581(E)","25-Mar-2026","₹ 0.10(1 ML)"
"","54","2015","Glucose","Injection 10%","1581(E)","25-Mar-2026","₹ 35.81(Each Pack (500 ml))( Pack)"
"","55","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 0.62(1 ML)"
"","56","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 81.87(1000ml Glass)"
"","57","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 28.70(250ml Non-Glass)"
"","58","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 66.10(1000ml Non-Glass)"
"","59","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 45.08(500ml Glass)"
"","60","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 22.99(100ml Glass)"
"","61","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 20.80(100ml Non-Glass)"
"","62","2015","Glucose","Injection 10%","1581(E)","25-Mar-2026","₹ 32.93(Each Pack (1000 ml))( Pack)"
"","63","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 38.89(500ml Non-Glass)"
"","64","2015","Glucose","Injection 5%","1581(E)","25-Mar-2026","₹ 31.75(250ml Glass)"
"","65","2015","Glucose (A) +
Sodium Chloride (B)","Injection 5% (A) + 0.9% (B)","1581(E)","25-Mar-2026","₹ 31.89(250ml Glass)"
